ID,N,10,0	Est1	Est2	Est3	Est4	Est5	Est6	Est7	Est8	Est9	Est10	Est11	Est12	Est13	Est14	Est15	Est16
355	Sorgo Forrajero	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
356	Rastrojo	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Rastrojo	FE+TB+L	FE+TB+L	FE+TB+L
357	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Moha	Moha	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo
358	Avena Pastoreo	Avena Pastoreo	Avena Pastoreo	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro	Lotus Puro
359	Sorgo Forrajero	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
360	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
361	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
362	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Moha	Moha	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
363	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Alfalfa	Sorgo Forrajero	Sorgo Forrajero	Sorgo Forrajero	Maiz	Maiz	TR+Cebadilla	TR+Cebadilla	TR+Cebadilla
364	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
365	Rastrojo	Moha	Moha	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Achicoria	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L	Raigrás+TB+L
366	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
367	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	Rastrojo	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás	TR+TB+Raigrás
368	Sorgo Forrajero	Moha	Moha	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L	FE+TB+L
